alpha,temperature_c,mean_s,std_s
1.539926526059492e-10,900,385.5200684963026,32.45572259640787
1.778279410038923e-10,900,386.60398099986503,30.509353986996707
2.053525026457146e-10,900,387.83184726853466,28.700965747630388
2.371373705661655e-10,900,389.02699042567673,27.02077628687467
2.7384196342643615e-10,900,390.0156078613129,25.459697441867466
3.1622776601683795e-10,900,390.6600411044652,24.009285320348184
3.651741272548377e-10,900,390.88494004305886,22.661694627553715
4.2169650342858224e-10,900,390.6914397368642,21.40963623093464
4.869675251658631e-10,900,390.1567486263187,20.246337733158953
5.623413251903491e-10,900,389.4193082012279,19.165506840141987
6.493816315762113e-10,900,388.65240581069423,18.161297325960092
7.498942093324559e-10,900,388.0312918214986,17.228277410551737
8.659643233600653e-10,900,387.70006171626915,16.361400379160706
1e-09,900,387.74458631978723,15.555977284601775
1.1547819846894583e-09,900,388.17660681306324,14.807651584694888
1.333521432163324e-09,900,388.9319780800799,14.112375577681714
1.539926526059492e-09,900,389.8833496575229,13.466388508163279
1.7782794100389228e-09,900,390.86482972337035,12.866196225133567
2.053525026457146e-09,900,391.7039049738848,12.308552282079173
2.3713737056616553e-09,900,392.25451906492776,11.790440376915168
2.7384196342643613e-09,900,392.4250041027304,11.30905803677472
3.1622776601683795e-09,900,392.19555201092714,10.861801459403187
3.651741272548377e-09,900,391.6219155753939,10.44625142916375
4.216965034285823e-09,900,390.82466028862933,10.060160231473988
4.869675251658631e-09,900,389.9660458567549,9.701439494893547
5.623413251903491e-09,900,389.2189744607348,9.368148895100557
6.493816315762113e-09,900,388.73395192717203,9.058485659656514
7.498942093324558e-09,900,388.61038031200576,8.770774816790762
8.659643233600654e-09,900,388.8776655217446,8.503460135460175
1e-08,900,389.4897415478136,8.255095707678725
1e-12,1000,182.89496784737062,85.0
1.1547819846894582e-12,1000,181.30784211441704,80.47079800726114
1.333521432163324e-12,1000,180.07192462913176,76.19176273026656
1.539926526059492e-12,1000,179.2401276944349,72.14907641794957
1.7782794100389228e-12,1000,178.77850125890558,68.32968453126385
2.053525026457146e-12,1000,178.57594190286468,64.72125358780042
2.3713737056616554e-12,1000,178.46851351054818,61.312131334822304
2.7384196342643612e-12,1000,178.27359895782735,58.09130912210856
3.1622776601683794e-12,1000,177.82734095151815,55.04838635310311
3.651741272548377e-12,1000,177.01830164655618,52.17353689957486
4.2169650342858224e-12,1000,175.8110578624202,49.45747737133618
4.869675251658631e-12,1000,174.2553920081724,46.8914371385572
5.6234132519034904e-12,1000,172.47946720782343,44.46713000987275
6.493816315762113e-12,1000,170.66837601354155,42.17672747482547
7.498942093324559e-12,1000,169.03216677434585,40.01283342424051
8.659643233600653e-12,1000,167.76937876665713,37.96846026689927
1e-11,1000,167.03290486561175,36.037006365388905
1.1547819846894581e-11,1000,166.9045111378822,34.21223471826396
1.3335214321633241e-11,1000,167.38267699362717,32.48825281968111
1.539926526059492e-11,1000,168.3858966621696,30.859493631470293
